country,HDI
Norway,0.949
Australia,0.939
Switzerland,0.939
Germany,0.926
Denmark,0.925
Singapore,0.925
Netherlands,0.924
Ireland,0.923
Iceland,0.921
Canada,0.92
United States,0.92
Hong Kong,0.917
New Zealand,0.915
Sweden,0.913
Liechtenstein,0.912
United Kingdom,0.909
Japan,0.903
South Korea,0.901
Israel,0.899
Luxembourg,0.898
France,0.897
Belgium,0.896
Finland,0.895
Austria,0.893
Slovenia,0.89
Italy,0.887
Spain,0.884
Czech Republic,0.878
Greece,0.866
Brunei,0.865
Estonia,0.865
Andorra,0.858
Cyprus,0.856
Malta,0.856
Qatar,0.856
Poland,0.855
Lithuania,0.848
Chile,0.847
Saudi Arabia,0.847
Slovakia,0.845
Portugal,0.843
United Arab Emirates,0.84
Hungary,0.836
Latvia,0.83
Argentina,0.827
Croatia,0.827
Bahrain,0.824
Montenegro,0.807
Russia,0.804
Romania,0.802
Kuwait,0.8
Belarus,0.796
Oman,0.796
Barbados,0.795
Uruguay,0.795
Bulgaria,0.794
Kazakhstan,0.794
Bahamas,0.792
Malaysia,0.789
Palau,0.788
Panama,0.788
Antigua and Barbuda,0.786
Seychelles,0.782
Mauritius,0.781
Trinidad and Tobago,0.78
Costa Rica,0.776
Serbia,0.776
Cuba,0.775
Iran,0.774
Georgia,0.769
Turkey,0.767
Venezuela,0.767
Sri Lanka,0.766
Saint Kitts and Nevis,0.765
Albania,0.764
Lebanon,0.763
Mexico,0.762
Azerbaijan,0.759
Brazil,0.754
Grenada,0.754
Bosnia and Herzegovina,0.75
Macedonia,0.748
Algeria,0.745
Armenia,0.743
Ukraine,0.743
Jordan,0.741
Peru,0.74
Thailand,0.74
Ecuador,0.739
China,0.738
Fiji,0.736
Mongolia,0.735
Saint Lucia,0.735
Jamaica,0.73
Colombia,0.727
Dominica,0.726
Suriname,0.725
Tunisia,0.725
Dominican Republic,0.722
Saint Vincent and the Grenadines,0.722
Tonga,0.721
World,0.717
Libya,0.716
Belize,0.706
Samoa,0.704
Maldives,0.701
Uzbekistan,0.701
Moldova,0.699
Botswana,0.698
Gabon,0.697
Paraguay,0.693
Egypt,0.691
Turkmenistan,0.691
Indonesia,0.689
Palestine,0.684
Vietnam,0.683
Philippines,0.682
El Salvador,0.68
Bolivia,0.674
South Africa,0.666
Kyrgyzstan,0.664
Iraq,0.649
Cape Verde,0.648
Morocco,0.647
Nicaragua,0.645
Guatemala,0.64
Namibia,0.64
Guyana,0.638
Micronesia,0.638
Tajikistan,0.627
Honduras,0.625
India,0.624
Bhutan,0.607
Timor Leste,0.605
Vanuatu,0.597
"Congo, Republic of the",0.592
Equatorial Guinea,0.592
Kiribati,0.588
Laos,0.586
Bangladesh,0.579
Ghana,0.579
Zambia,0.579
São Tomé and Príncipe,0.574
Cambodia,0.563
Nepal,0.558
Myanmar,0.556
Kenya,0.555
Pakistan,0.55
Swaziland,0.541
Syria,0.536
Angola,0.533
Tanzania,0.531
Nigeria,0.527
Cameroon,0.518
Papua New Guinea,0.516
Zimbabwe,0.516
Solomon Islands,0.515
Mauritania,0.513
Madagascar,0.512
Rwanda,0.498
Comoros,0.497
Lesotho,0.497
Senegal,0.494
Haiti,0.493
Uganda,0.493
Sudan,0.49
Togo,0.487
Benin,0.485
Yemen,0.482
Afghanistan,0.479
Malawi,0.476
Côte d'Ivoire,0.474
Djibouti,0.473
Gambia,0.452
Ethiopia,0.448
Mali,0.442
"Congo, Democratic Republic of the",0.435
Liberia,0.427
Guinea Bissau,0.424
Eritrea,0.42
Sierra Leone,0.42
Mozambique,0.418
South Sudan,0.418
Guinea,0.414
Burundi,0.404
Burkina Faso,0.402
Chad,0.396
Niger,0.353
Central African Republic,0.352