,country,Percent_Obese,GDPper_cap,Insufficiently_active,HDI,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia_Pacific,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,Education
76,Suriname,26.1,14000,32.4,0.725,0,0,0,0,1,0,45.76,0.78,66.0,1914000000.0,21.372461129977175,0.0,0.0,0.0,0.0,7.446513834705969,0,0.588
77,South Africa,26.8,13200,46.9,0.6659999999999999,1,0,0,0,0,0,68.63,1.59,64.8,85030000000.0,25.16626997234411,0.0,0.0,0.0,0.0,15.085875652633396,0,0.695
78,Peru,21.1,12900,32.4,0.74,0,0,0,0,1,0,67.98,1.69,78.6,38350000000.0,24.370020364759675,0.0,0.0,0.0,0.0,15.995820577691099,0,0.664
79,Egypt,28.9,12600,32.3,0.691,0,1,0,0,0,0,60.87,1.68,43.1,50070000000.0,24.636687863288266,0.0,0.0,43.1,0.0,15.861639516138474,0,0.573
80,Mongolia,16.7,12300,21.4,0.735,0,0,0,1,0,0,65.12,2.78,72.0,3003000000.0,21.822877625947605,21.822877625947605,2.78,0.0,65.12,26.18024562498221,0,0.694
81,Jordan,30.5,12300,15.6,0.741,0,1,0,0,0,0,74.31,3.79,83.7,17860000000.0,23.605829412394765,0.0,0.0,83.7,0.0,35.691773711756326,0,0.7
82,Sri Lanka,6.5,12300,23.8,0.7659999999999999,0,0,0,1,0,0,55.25,0.72,18.4,18640000000.0,23.648575646203856,23.648575646203856,0.72,0.0,55.25,6.780495269779565,0,0.738
83,Cuba,25.2,11900,32.4,0.775,0,0,0,0,1,0,56.39,0.07,77.1,12340000000.0,23.23611185542365,0.0,0.0,0.0,0.0,0.6569005575369735,0,0.743
84,Albania,17.6,11800,24.5,0.764,0,0,1,0,0,0,67.19,2.21,57.4,3613000000.0,22.007804289111913,0.0,0.0,0.0,0.0,20.7206391311028,11800,0.609
85,Indonesia,5.7,11700,23.7,0.6890000000000001,0,0,0,1,0,0,62.04,2.69,53.7,121500000000.0,25.523180099727014,25.523180099727014,2.69,0.0,62.04,25.19815568491393,0,0.603
86,Tunisia,27.1,11600,23.5,0.725,0,1,0,0,0,0,64.86,1.38,66.8,17750000000.0,23.599651352867834,0.0,0.0,66.8,0.0,12.915089320390347,0,0.621
87,Dominica,25.8,11300,21.8,0.726,0,0,0,0,1,0,47.4,0.84,69.5,186500000.0,19.043941797048145,0.0,0.0,0.0,0.0,7.839348723948363,0,0.607
88,Namibia,18.9,11300,31.8,0.64,1,0,0,0,0,0,61.55,4.16,46.7,6888000000.0,22.65304660407184,0.0,0.0,0.0,0.0,38.8234412995538,0,0.52
89,Ecuador,18.7,11100,25.2,0.7390000000000001,0,0,0,0,1,0,60.67,1.9,63.7,17740000000.0,23.599087813827843,0.0,0.0,0.0,0.0,17.697930735870806,0,0.594
90,Bosnia and Herzegovina,17.9,11000,18.1,0.75,0,0,1,0,0,0,65.79,0.14,39.8,7765000000.0,22.772892293547063,0.0,0.0,0.0,0.0,1.3027910772492712,11000,0.655
91,Georgia,20.8,10000,20.6,0.769,0,0,0,0,0,1,72.5,-0.1,53.6,6803000000.0,22.640629528309336,0.0,-0.0,0.0,0.0,-0.9210340371976184,0,0.77
92,Swaziland,17.7,9800,36.8,0.541,1,0,0,0,0,0,46.35,1.32,21.3,1655000000.0,21.227066845775436,0.0,0.0,0.0,0.0,12.130981717349437,0,0.551
93,Paraguay,16.3,9400,24.6,0.693,0,0,0,0,1,0,64.43,2.1,59.7,10200000000.0,23.045653557236637,0.0,0.0,0.0,0.0,19.211776433342,0,0.587
94,Fiji,36.4,9300,17.0,0.736,0,0,0,1,0,0,55.73,1.45,53.7,2397000000.0,21.59748379239866,21.59748379239866,1.45,0.0,55.73,13.249766034754954,0,0.767
95,Jamaica,27.2,9000,27.9,0.73,0,0,0,0,1,0,65.39,0.9,54.8,3772000000.0,22.050871201717623,0.0,0.0,0.0,0.0,8.194481870686522,0,0.668
96,El Salvador,21.8,8900,32.4,0.68,0,0,0,0,1,0,65.86,1.4,66.7,9444000000.0,22.96864545616968,0.0,0.0,0.0,0.0,12.731329178008323,0,0.553
97,Libya,33.1,8700,38.0,0.716,0,1,0,0,0,0,52.26,1.13,78.6,9551000000.0,22.97991169799901,0.0,0.0,78.6,0.0,10.250318484246222,0,0.698
98,Armenia,19.5,8600,24.5,0.743,0,0,0,0,0,1,67.09,-0.11,62.7,2638000000.0,21.693286891241534,0.0,-0.0,0.0,0.0,-0.9965469230465759,0,0.701
99,Ukraine,20.1,8300,12.2,0.743,0,0,0,0,0,1,70.6,-0.33,69.7,38300000000.0,24.368715733133012,0.0,-0.0,0.0,0.0,-2.977923561948948,0,0.796
100,Morocco,22.3,8300,31.1,0.647,0,1,0,0,0,0,67.01,2.26,60.2,33150000000.0,24.224308553578282,0.0,0.0,60.2,0.0,20.394264393953396,0,0.468
101,Bhutan,6.7,8200,8.7,0.607,0,0,0,1,0,0,42.69,3.69,38.6,1100000000.0,20.818576016750736,20.818576016750736,3.69,0.0,42.69,33.25387200870115,0,0.421
102,Belize,22.5,8200,32.4,0.706,0,0,0,0,1,0,54.46,1.93,44.0,895500000.0,20.612892779465042,0.0,0.0,0.0,0.0,17.392946606177023,0,0.689
103,Guyana,22.9,7900,32.4,0.638,0,0,0,0,1,0,53.6,0.76,28.6,1440000000.0,21.08790895053432,0.0,0.0,0.0,0.0,6.820709709225886,0,0.582
104,Guatemala,18.6,7900,13.3,0.64,0,0,0,0,1,0,63.17,3.4,51.6,16760000000.0,23.54226093200035,0.0,0.0,0.0,0.0,30.51370133074738,0,0.484
105,Philippines,5.1,7700,15.8,0.682,0,0,0,1,0,0,64.08,1.32,44.4,60950000000.0,24.83331969287369,24.83331969287369,1.32,0.0,64.08,11.812647802351146,0,0.61
106,Angola,10.2,6800,20.9,0.5329999999999999,1,0,0,0,0,0,42.56,4.97,44.0,19670000000.0,23.70236046934738,0.0,0.0,0.0,0.0,43.85864911908606,0,0.474
107,India,4.9,6600,13.4,0.624,0,0,0,1,0,0,56.77,2.38,32.7,402400000000.0,26.72071245573194,26.72071245573194,2.38,0.0,56.77,20.93168332867455,0,0.473
108,Nigeria,11.0,5900,22.3,0.527,1,0,0,0,0,0,54.99,4.66,47.8,36400000000.0,24.317834611589106,0.0,0.0,0.0,0.0,40.46141755530516,0,0.425
109,Samoa,43.4,5500,16.2,0.7040000000000001,0,0,0,1,0,0,46.73,-0.24,19.1,325300000.0,19.600258391443578,19.600258391443578,-0.24,0.0,46.73,-2.067000809092935,0,0.702
110,Nicaragua,17.1,5500,32.4,0.645,0,0,0,0,1,0,60.68,1.96,58.8,6039000000.0,22.521504272272175,0.0,0.0,0.0,0.0,16.880506607592302,0,0.484
111,Tonga,43.3,5400,21.6,0.721,0,0,0,1,0,0,42.88,0.71,23.7,288200000.0,19.479165241529696,19.479165241529696,0.71,0.0,42.88,6.10184950511218,0,0.72
112,Honduras,18.2,5300,32.4,0.625,0,0,0,0,1,0,61.71,3.14,54.7,11250000000.0,23.14363396559684,0.0,0.0,0.0,0.0,26.926950992556268,0,0.505
113,Pakistan,5.4,5100,26.0,0.55,0,0,0,1,0,0,52.53,2.81,38.8,38250000000.0,24.367409397218957,24.367409397218957,2.81,0.0,52.53,23.988958250581895,0,0.372
114,Ghana,12.2,4400,15.6,0.579,1,0,0,0,0,0,57.6,3.4,54.0,13730000000.0,23.34284905672629,0.0,0.0,0.0,0.0,28.5238233876816,0,0.553
115,Sudan,7.5,4400,20.9,0.49,0,1,0,0,0,0,38.05,2.54,33.8,9345000000.0,22.958107277853937,0.0,0.0,33.8,0.0,21.308973942562137,0,0.306
116,Mauritania,9.7,4300,45.1,0.513,0,1,0,0,0,0,53.91,3.54,59.9,1643000000.0,21.219789676001543,0.0,0.0,59.9,0.0,29.616950867953054,0,0.352
117,Zambia,8.9,3900,20.5,0.579,1,0,0,0,0,0,56.19,4.32,40.9,6752000000.0,22.633104594240066,0.0,0.0,0.0,0.0,35.720921514748625,0,0.591
118,Bangladesh,3.6,3900,26.8,0.579,0,0,0,1,0,0,45.54,3.55,34.3,39170000000.0,24.391176984624153,24.391176984624153,3.55,0.0,45.54,29.353998004017967,0,0.447
119,Cambodia,3.2,3700,10.3,0.563,0,0,0,1,0,0,56.67,2.65,20.7,12320000000.0,23.234489795051786,23.234489795051786,2.65,0.0,56.67,21.772633461375637,0,0.495
120,Lesotho,14.2,3600,7.2,0.4970000000000001,1,0,0,0,0,0,51.98,3.05,27.3,1688000000.0,21.246810233120176,0.0,0.0,0.0,0.0,24.975501829554812,0,0.504
121,Papua New Guinea,27.9,3500,14.7,0.516,0,0,0,1,0,0,52.71,2.12,13.0,1830000000.0,21.327581803799742,21.327581803799742,2.12,0.0,52.71,17.30029868465231,0,0.376
122,Papua New Guinea,27.9,3500,14.7,0.516,0,0,0,1,0,0,52.71,2.12,13.0,13.0,2.5649493574615367,2.5649493574615367,2.12,0.0,52.71,17.30029868465231,0,0.376
123,Djibouti,9.6,3400,31.1,0.473,0,1,0,0,0,0,49.24,1.6,77.3,992000000.0,20.715233665249148,0.0,0.0,77.3,0.0,13.010449136966805,0,0.306
124,Kenya,7.0,3400,19.2,0.555,1,0,0,0,0,0,56.33,4.34,25.6,14700000000.0,23.4111133307311,0.0,0.0,0.0,0.0,35.29084328402246,0,0.515
125,Cameroon,11.4,3200,30.7,0.518,1,0,0,0,0,0,48.6,3.6,54.4,6630000000.0,22.614870641144183,0.0,0.0,0.0,0.0,29.05526191963615,0,0.486
126,Tajikistan,13.6,3000,24.5,0.627,0,0,0,0,0,1,45.47,2.62,26.8,2340000000.0,21.573416766316022,0.0,0.0,0.0,0.0,20.976683027243645,0,0.639
127,Vanuatu,35.4,2600,8.4,0.597,0,0,0,1,0,0,46.07,3.42,26.1,366800000.0,19.720327298346582,19.720327298346582,3.42,0.0,46.07,26.892372196112742,0,0.596
128,Senegal,9.8,2600,25.0,0.494,1,0,0,0,0,0,63.29,3.59,43.7,5001000000.0,22.332903729383176,0.0,0.0,0.0,0.0,28.22912753919437,0,0.368
129,Nepal,3.3,2500,4.1,0.5579999999999999,0,0,0,1,0,0,46.26,3.18,18.6,7116000000.0,22.68561160675,22.68561160675,3.18,0.0,46.26,24.88046631452301,0,0.452
130,Chad,8.1,2400,24.6,0.396,1,0,0,0,0,0,41.49,2.42,22.5,3075000000.0,21.846570738204893,0.0,0.0,0.0,0.0,18.83540211953321,0,0.256
131,Yemen,17.2,2400,31.1,0.482,0,1,0,0,0,0,52.78,4.03,34.6,3624000000.0,22.010844225127144,0.0,0.0,34.6,0.0,31.366392785834233,0,0.339
132,Mali,6.8,2300,23.7,0.442,1,0,0,0,0,0,51.07,5.08,39.9,2904000000.0,21.78935493390896,0.0,0.0,0.0,0.0,39.322575161739586,0,0.305
133,Benin,9.3,2100,6.9,0.485,1,0,0,0,0,0,51.26,3.67,44.0,2591000000.0,21.675309738526384,0.0,0.0,0.0,0.0,28.074371929021257,0,0.414
134,Uganda,4.9,2100,20.9,0.493,1,0,0,0,0,0,52.66,5.43,16.1,4677000000.0,22.26592271569016,0.0,0.0,0.0,0.0,41.53783094675352,0,0.479
135,Rwanda,4.0,2000,15.3,0.498,1,0,0,0,0,0,53.17,6.43,28.8,1961000000.0,21.39672038416062,0.0,0.0,0.0,0.0,48.87380281485559,0,0.478
136,Solomon Islands,27.7,2000,35.1,0.515,0,0,0,1,0,0,37.83,4.25,22.3,425700000.0,19.86924543079838,19.86924543079838,4.25,0.0,37.83,32.30383545305385,0,0.405
137,Zimbabwe,10.5,2000,22.4,0.516,1,0,0,0,0,0,51.1,2.3,32.4,5738000000.0,22.470376554505584,0.0,0.0,0.0,0.0,17.482075656946787,0,0.5
138,Afghanistan,2.9,1900,31.1,0.479,0,0,0,1,0,0,35.95,3.96,26.7,7004000000.0,22.669747251370016,22.669747251370016,3.96,0.0,35.95,29.896452294011947,0,0.365
139,Ethiopia,4.0,1900,18.9,0.448,1,0,0,0,0,0,42.51,4.89,19.5,14760000000.0,23.41518665611874,0.0,0.0,0.0,0.0,36.91758881760566,0,0.317
140,Haiti,11.9,1800,32.4,0.493,0,0,0,0,1,0,46.68,3.78,58.6,3149000000.0,21.870350779065298,0.0,0.0,0.0,0.0,28.333148547882487,0,0.374
141,Burkina Faso,6.3,1700,18.4,0.402,1,0,0,0,0,0,57.18,5.87,29.9,2872000000.0,21.77827448813239,0.0,0.0,0.0,0.0,43.663311321360084,0,0.25
142,Kiribati,40.6,1800,41.1,0.588,0,0,0,1,0,0,40.63,1.78,44.3,182200000.0,19.020615542790132,19.020615542790132,1.78,0.0,40.63,13.342064660113977,0,0.602
143,Sierra Leone,7.6,1700,14.2,0.42,1,0,0,0,0,0,47.65,2.75,39.9,1303000000.0,20.98793513508912,0.0,0.0,0.0,0.0,20.455554707621843,0,0.305
144,Gambia,10.9,1700,21.5,0.452,1,0,0,0,0,0,50.07,4.33,59.6,363900000.0,19.71238966258239,0.0,0.0,0.0,0.0,32.20820068509185,0,0.346
145,Togo,7.5,1600,10.4,0.487,1,0,0,0,0,0,56.12,3.83,40.0,1852000000.0,21.3395319731704,0.0,0.0,0.0,0.0,28.25681661851275,0,0.514
146,Comoros,6.6,1500,14.2,0.4970000000000001,0,1,0,0,0,0,36.85,2.67,28.3,191200000.0,19.068830558581574,0.0,0.0,28.3,0.0,19.526298433531103,0,0.45
147,Madagascar,5.4,1500,17.9,0.512,1,0,0,0,0,0,46.78,4.59,35.1,2717000000.0,21.72279416739062,0.0,0.0,0.0,0.0,33.567681576744484,0,0.458
148,Eritrea,4.1,1400,10.7,0.42,1,0,0,0,0,0,26.41,5.1,22.6,1022000000.0,20.745027328727925,0.0,0.0,0.0,0.0,36.945560329577084,0,0.228
149,Guinea,6.8,1300,9.9,0.414,1,0,0,0,0,0,47.1,3.82,37.2,2185000000.0,21.504881665493965,0.0,0.0,0.0,0.0,27.389856655977578,0,0.294
150,Mozambique,5.3,1200,5.8,0.418,1,0,0,0,0,0,48.99,3.27,32.2,5151000000.0,22.36245670752986,0.0,0.0,0.0,0.0,23.18455125298782,0,0.372
151,Malawi,5.3,1100,7.5,0.476,1,0,0,0,0,0,46.98,3.77,16.3,2578000000.0,21.670279741463407,0.0,0.0,0.0,0.0,26.40155677962496,0,0.44
152,Niger,4.3,1100,25.1,0.353,1,0,0,0,0,0,49.72,5.14,18.7,1916000000.0,21.37350551649508,0.0,0.0,0.0,0.0,35.99575645816241,0,0.198
153,Liberia,6.6,900,27.5,0.4270000000000001,1,0,0,0,0,0,56.05,3.36,49.7,1250000000.0,20.94640938826062,0.0,0.0,0.0,0.0,22.856046404769685,0,0.367
154,Burundi,2.6,800,20.9,0.404,1,0,0,0,0,0,38.95,5.66,12.1,683400000.0,20.342590897645465,0.0,0.0,0.0,0.0,37.83490237860047,0,0.37
155,Burundi,2.6,800,20.9,0.404,1,0,0,0,0,0,38.95,5.66,12.1,12.1,2.4932054526026954,0.0,0.0,0.0,0.0,37.83490237860047,0,0.37
156,Central African Republic,5.1,700,12.0,0.35200000000000004,1,0,0,0,0,0,35.58,2.59,40.0,375300000.0,19.74323626410525,0.0,0.0,0.0,0.0,16.967298067762417,0,0.318
